canon_key,phrase_norm,freq,row_id
mouth grip,mouth grip,2,482
moving tangent frame,moving tangent frame,2,483
much wider tip,much wider tip,2,484
muscular frame,muscular frame,2,485
nearby anton shaft,nearby anton shaft,2,486
new frame,new frame,2,487
new roof canopy,new roof canopy,2,488
non-heddle frame,non-heddle frame,2,489
non-stick varieties,non-stick varieties,2,490
northernmost tip,northernmost tip,2,491
not rust,not rust,2,492
objective collapse,objective collapse,2,493
one inertial frame,one inertial frame,2,494
one stick,one stick,2,495
only a single authentication frame,only a single authentication frame,2,496
only a single shaft,only a single shaft,2,497
only one handle,only one handle,2,498
original canopy,original canopy,2,499
original shaft and engine-house,original shaft and engine-house,2,500
orthonormal frame bundle,orthonormal frame bundle,2,501
other folding knives,other folding knives,2,502
outer frame,outer frame,2,503
own co-moving frame,own co-moving frame,2,504
permutation invert,permutation invert,2,505
pistol grip model,pistol grip model,2,506
plate frame,plate frame,2,507
polished wooden handle,polished wooden handle,2,508
polymer tip,polymer tip,2,509
powerful 20 inch telescope,powerful 20 inch telescope,2,510
preceding fixed carrying handle,preceding fixed carrying handle,2,511
premature tip stall,premature tip stall,2,512
propeller tip vortex condensation,propeller tip vortex condensation,2,513
pull-start handle,pull-start handle,2,514
radar jam,radar jam,2,515
radial spokes,radial spokes,2,516
radio button,radio button,2,517
rain guard,rain guard,2,518
rain gutter,rain gutter,2,519
raised ribs,raised ribs,2,520
raylike spokes,raylike spokes,2,521
relaxed grip,relaxed grip,2,522
rest frame,rest frame,2,523
resting frame,resting frame,2,524
reversing shaft,reversing shaft,2,525
rib cage thumb left 200px x-ray image,rib cage thumb left 200px x-ray image,2,526
rigid frame,rigid frame,2,527
rod-shaped metal shaft,rod-shaped metal shaft,2,528
ror umbrella,ror umbrella,2,529
roughly 203 mm,roughly 203 mm,2,530
round or oval tip,round or oval tip,2,531
round spokes,round spokes,2,532
round wooden frame,round wooden frame,2,533
round wooden handle,round wooden handle,2,534
royax official website folding stretcher,royax official website folding stretcher,2,535
s designed to make e-bikes feel and handle more like normal bikes.,s designed to make e-bikes feel and handle more like normal bikes.,2,536
sculpted handle,sculpted handle,2,537
second rib,second rib,2,538
several strap-shaped hysteranthous green leaves,several strap-shaped hysteranthous green leaves,2,539
shaft drive,shaft drive,2,540
shaft mining operations,shaft mining operations,2,541
shaft output,shaft output,2,542
shaft straighteners,shaft straighteners,2,543
shaft thumb bent shaft paddles,shaft thumb bent shaft paddles,2,544
short shaft,short shaft,2,545
single handle,single handle,2,546
single hollow shaft,single hollow shaft,2,547
single propeller shaft,single propeller shaft,2,548
single strap,single strap,2,549
six cast iron ribs,six cast iron ribs,2,550
six stretchers,six stretchers,2,551
sliding canopy,sliding canopy,2,552
slightly reshaped grip,slightly reshaped grip,2,553
slingshot break,slingshot break,2,554
small horizontal shaft engine,small horizontal shaft engine,2,555
small strap,small strap,2,556
snap,snap,2,557
soak,soak,2,558
soaked,soaked,2,559
soaked dried bread,soaked dried bread,2,560
solar wind sample return mission,solar wind sample return mission,2,561
south eastern tip,south eastern tip,2,562
space break,space break,2,563
spoke crossings,spoke crossings,2,564
spring break-up,spring break-up,2,565
stanag 22 mm rifle,stanag 22 mm rifle,2,566
star-shaped tip,star-shaped tip,2,567
steel frame models,steel frame models,2,568
steel-frame buildings,steel-frame buildings,2,569
stick figure,stick figure,2,570
stick shaft,stick shaft,2,571
stick shaker,stick shaker,2,572
stick upright 0.4 the m ori people,stick upright 0.4 the m ori people,2,573
stiffer frame,stiffer frame,2,574
strap fencing,strap fencing,2,575
strap iron rails,strap iron rails,2,576
strap or sliding rivet,strap or sliding rivet,2,577
strap-shaped leaves,strap-shaped leaves,2,578
strong non-severe wind shear events,strong non-severe wind shear events,2,579
stud handle,stud handle,2,580
tail tip,tail tip,2,581
tall rain geta,tall rain geta,2,582
tdm frame,tdm frame,2,583
ten dorsal ribs,ten dorsal ribs,2,584
thin canopy,thin canopy,2,585
three 30 mm nr-30 cannons,three 30 mm nr-30 cannons,2,586
three wind turbines,three wind turbines,2,587
tight grip,tight grip,2,588
tip bend,tip bend,2,589
tip covers,tip covers,2,590
tip extensions,tip extensions,2,591
tip growth,tip growth,2,592
tip radii,tip radii,2,593
toe strap,toe strap,2,594
tongue tip,tongue tip,2,595
trap stick,trap stick,2,596
trapezoid grip shape,trapezoid grip shape,2,597
tree canopy,tree canopy,2,598
true ribs,true ribs,2,599
turns inside out,turns inside out,2,600
twelve slender ribs,twelve slender ribs,2,601
two 20 mm phalanx ciws mounts,two 20 mm phalanx ciws mounts,2,602
two 23 mm nr-23,two 23 mm nr-23,2,603
two compact discs,two compact discs,2,604
two timber frame arches,two timber frame arches,2,605
